Item ID,Name,Description /Size in inches,Category,Material,Weight (grams),Unit Price,Quantity,Total Value,Added on Date,Image,Image Link,
48,Arghya patre,2.5,Pooja Items,Silver,74,6919,1,6919,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
49,Arghya patre,2.75,Pooja Items,Silver,72,6732,1,6732,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
50,Theerthada thatte stand peetha 1 leg,6.5 inches,Pooja Items,Silver,560,52360,1,52360,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
51,Theerthada thatte stand 3 legs,3.5 inches,Pooja Items,Silver,157,14679.5,1,14679.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
52,Belli chatri,7 inches,Pooja Items,Silver,143,13370.5,1,13370.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
53,Deepada Kamba jote,17 inches,Pooja Items,Silver,774,72369,1,72369,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
54,Deepada Kamba jote (Trishula),12.5 inches,Pooja Items,Silver,396,37026,1,37026,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
55,Deepada Kamba jote (battalu),7.26 inches,Pooja Items,Silver,268,25058,1,25058,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
56,Deepada Kamba jote (5 batti),9.5 inches,Pooja Items,Silver,260,24310,1,24310,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
57,Deepada Kamba jote,4.25 inches,Pooja Items,Silver,100,9350,1,9350,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
58,Deepada Kamba jote,4 inches,Pooja Items,Silver,74,6919,1,6919,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
59,Paduke jote (excluding wooden core),"7.5 inches, Approx. Weight of silver only",Pooja Items,Silver,250,23375,1,23375,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
60,Paduke jote (pure silver),7.5 inches,Pooja Items,Silver,390,36465,1,36465,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
61,Paduke jote (pure silver),10 inches,Pooja Items,Silver,466,43571,1,43571,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
62,Ganapati kireeta,6 inches,Pooja Items,Silver,119,11126.5,1,11126.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
63,Rayara mukhavada,6 inches,Pooja Items,Silver,217,20289.5,1,20289.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",New photo taken on Jan 30 2026 to be replaced
64,Madhvarayara Kavacha with Bennu peetha -Two pieces - 64/1 and 64/2,6 inches,Pooja Items,Silver,379,35436.5,1,35436.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
65,Anjaneyana kavacha with mukhavada  -Two pieces - 65/1 and 65/2,6.5 inches,Pooja Items,Silver,473,44225.5,1,44225.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
66,"Ganapati vibhuti tilaka, sanna kireeta?",5 inches (width),Pooja Items,Silver,22,2057,1,2057,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
67,Rayara utsava murti kavacha,9.5 inches,Pooja Items,Silver,189,17671.5,1,17671.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
68,Belli chamarada hidi,11 inches,Pooja Items,Silver,500,46750,2,93500,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
69,Rudraakshi maale (including beads with silver thread),,Pooja Items,Silver,240,22440,1,22440,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
70,Tulasi maale (including beads with silver thread),,Pooja Items,,75,7012.5,2,14025,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",?
71,Havalada sara  (including beads with silver thread),,Ornament,,11,1028.5,1,1028.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
72,Kadubina sara Pure silver),,Ornament,Silver,32,2992,1,2992,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
73,Ajaneya Kavachada set,"5 pieces(body 2, 2 gade, 1 chatri, 1 kolave)",Ornament,Silver,102,9537,1,9537,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
74,"Kanakaabhisheda Kaasu (Gold plated, ~108 pieces)",,Pooja Items,Silver,19,1776.5,1,1776.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
75,"Saaligramada haara (belli, saligrama built-in)",,Ornament,Silver,,,1,0,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
76,"Belli hoovina sara  - 76/1,76/2",,Ornament,Silver,37,3459.5,2,6919,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
77,Belli hoovina sara with havala,,Ornament,Silver,100,9350,1,9350,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
79,Belli hoovina sara with havala,,Ornament,Silver,60,5610,1,5610,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
80,Belli kaasina sara,,Ornament,Silver,41,3833.5,1,3833.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
81,Belli kaasina sara,,Ornament,Silver,46,4301,1,4301,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
82,"Belli kamalada hoovina haara, 2 pieces",,Ornament,Silver,680,63580,2,127160,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
83,Krishnana murthi and tottilu,"83/1, 83/2",Idol,Silver,403,37680.5,1,37680.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
84,"Saaligramada haara (belli, saligrama built-in)",Kept in SS box,Ornament,,1058,98923,1,98923,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
85,"Saaligramada haara (belli, saligrama built-in)",Kept in SS box,Ornament,,1068,99858,1,99858,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
86,Anjayena kavacha (2 pieces),,Ornament,Silver,2698,252263,1,252263,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
87,Wooden peetha with silver plated,Identified for disposal,,Silver,,0,1,0,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
88,Bheemasena kavacha,,Ornament,Silver,350,32725,1,32725,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
89,Vedavyasa kavacha,,Ornament,Silver,297,27769.5,1,27769.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
90,Raayara kavacha,,Ornament,Silver,825,77137.5,1,77137.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
91,Brundaavana Kavacha Front Peetha,,Ornament,Silver,1620,151470,1,151470,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
92,Brundaavana Kavacha Front Top,,Ornament,Silver,1200,112200,1,112200,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
93,"Krishnana mukhavada, kavacha, kadagolu (3 pieces)",,Ornament,Silver,1930,180455,1,180455,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
94,Anjanaeya kavacha (3 pieces),,Ornament,Silver,1650,154275,1,154275,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
95,Belli ittige (5 pieces),Disposed,Ornament,Silver,500,46750,1,46750,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
96,Belli sara,Krishna Devara mele,Ornament,Silver,132,12342,1,12342,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
97,Ganapati Kireeta (haleyadu),,,Silver,,,1,,,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
98,Tulasi haara,Kept in purse,,Silver,,,1,,,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
99,Belli Gindi,1.5 inches To be disposed?,,Silver,,,1,,,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
,raghavendra swamy vigraha,For special occasions only,Pooja Items,Gold,100,100,2,200,2025-12-26,https://lh3.googleusercontent.com/d/1QpKAfVv1qGdfnnA3Y5MomrZqergDaifs,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
,Test Item1,Created for the purpose of testing,Pooja Items,Gold,3,25000,1,25000,2026-01-03,https://lh3.googleusercontent.com/d/1Ne4z-M6VXz65t6muA1McyNf3ayfvjUby,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
,Test Item 2,,Pooja Items,Gold,25,100,5,500,2026-01-09,https://lh3.googleusercontent.com/d/1Qs91k5uojYT3H9FMSfQoBopF2e6Pp7RR,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
11/01/2026 15:42:58,Test Item 3 ,,Pooja Items,Silver,20,1600,2,3200,2026-01-11,https://lh3.googleusercontent.com/d/1PFqG7H8VG3Vcd7ElFAOWnhSfwrTuV2-X,20240707_114425.jpg,
